"Date","Record Number","Record Type","Module","Short Notes","Project Name","Status"
"01/13/2026","BB-202600319","Commercial Alteration","Building",,"Prolific Banking Suite 750 (LC) (CO)","Issued",
"12/31/2025","BB-202510920","Commercial Miscellaneous","Building",,"Repair At Thomas (LC)","Additional Materials Required",
"08/12/2025","BB-202506795","Commercial Alteration","Building",,"Samaj Learning Academy (LC) (CC)","Expired",
"06/24/2025","BB-202505384","Commercial Alteration","Building",,"TRINITY ANGLICAN CHURCH EDUCATION BUILDING RENOVATIONS (LC) (CC)","CO Issued",
"06/18/2025","BB-202505240","Residential Alteration","Building",,"SFR Alteration (RES)","Issued",
"06/17/2025","BB-202505192","Commercial Alteration","Building",,"Noble Investment Expansion; Suite 2000 (LC) (CC)","No CO Required",
"06/13/2025","BB-202505103","Residential Alteration","Building",,"2777 COLLIER DRIVE  (RES)","Issued",
"06/03/2025","BB-202504780","Commercial Alteration","Building",,"TRINITY ANGLICAN CHURCH SANCTUARY BUILDING (LC) (CC)","CO Issued",
"04/14/2025","BB-202503195","Residential New","Building",,"NEW BUILD (RES)","Closed",
"02/17/2025","BB-202501430","Commercial Miscellaneous","Building",,"ATT Generator Project - 10022465 (COM)","Issued",
"01/09/2025","BB-202500233","Commercial Alteration","Building",,"KILPATRICK ATLANTA-SUITE 2400 (LC) (CC)","No CO Required",
"12/27/2024","BB-202500800","Commercial Miscellaneous","Building",,"ATT GENERATOR PROJECT - 10022922 (LC) (CC)","Issued",
"11/22/2024","BB-202410376","Commercial Alteration","Building",,"Speculative Suite 725 (LC)","No CO Required",
"10/11/2024","BB-202409157","Residential Alteration","Building",,"GEZA PROPERTY LLC RESIDENCE - ALTERATION (RES)","Issued",
"09/05/2024","BB-202408043","Commercial Miscellaneous","Building",,"1750 HOWELL MILL RD-EXT. IMPROVEMENTS (COM)(CC)","Issued",
"09/05/2024","BB-202408044","Residential Alteration","Building",,"CORNELIUS RESIDENCE - ALTERATION (RES)","Expired",
"08/27/2024","BB-202407809","Commercial Alteration","Building",,"WSUC BUCKHEAD SOUTH (LC)","No CO Required",
"08/01/2024","BB-202406891","Residential Express","Building",,"240 Rosser St. (XPRS)","Issued",
"05/14/2024","BA-202402348","Arborist Plan Review","Building",,"MASJID SALAAM ADDITION  (SAP-19-171) (LC) (CO)","Approved-No Trees Destroyed",
